Sample REF	F32F346E-9E0B-4EDA-AB4D-09FCC54BED28
PCNA-M-C	-0.188944414
PDCD4-R-C	-0.079676186
PDK1-R-V	0.227443861
PDK1_pS241-R-V	0.256850076
PEA15-R-V	0.831829097
PEA15_pS116-R-V	0.186047602
PI3K-p110-alpha-R-C	0.0133906539999999
PI3K-p85-R-V	0.483073901
PKC-alpha-M-V	0.276188162
PKC-alpha_pS657-R-C	0.311617129
PKC-delta_pS664-R-V	-0.138175535
PKC-pan_BetaII_pS660-R-V	-0.392810821
PR-R-V	0.0981704
PRAS40_pT246-R-V	-0.448971439
PRDX1-R-V	0.946995317
PREX1-R-E	0.326867115
PTEN-R-V	-0.466310023
Rab11-R-E	0.136566846
Rab25-R-V	-0.103533004
Rad50-M-V	0.100720114
Rad51-R-V	0.605066557
Raptor-R-V	0.227996918
Rb-M-E	-0.146708109
Rb_pS807_S811-R-V	-1.007879201
RBM15-R-V	-0.648103701
Rictor-R-C	0.251991974
Rictor_pT1135-R-V	0.107366473
S6-R-E	-0.292344456
S6_pS235_S236-R-V	-0.62424381
S6_pS240_S244-R-V	-0.676778534
SCD-M-V	0.061870109
SETD2-R-E	0.00404285599999998
SF2-M-V	-0.378468126
Shc_pY317-R-E	-0.233061701
Smac-M-E	0.019295946
Smad1-R-V	0.041308454
Smad3-R-V	0.214305154
Smad4-M-V	-0.0306895850000001
Snail-M-E	-0.296007748
Src-M-V	-0.139007788
Src_pY416-R-C	-1.339507495
Src_pY527-R-V	-0.71554504
STAT3_pY705-R-V	0.580552221
STAT5-alpha-R-V	-0.141346102
Stathmin-R-V	0.20803361
Syk-M-V	-0.223425697
TAZ-R-V	0.0836303019999999
TIGAR-R-V	0.185589237
Transglutaminase-M-V	1.015431471
TFRC-R-V	-0.323175876
TSC1-R-C	0.365250241
TTF1-R-V	-0.0431966250000001
Tuberin-R-E	-0.0138365450000001
Tuberin_pT1462-R-V	-0.080691333
VEGFR2-R-V	-0.483689303
EPPK1-M-E	0.232486512
XBP1-G-C	0.00651102999999986
XRCC1-R-E	0.088913467
YAP-R-E	-0.182574619
YAP_pS127-R-E	0.0803844969999999
YB-1-R-V	-0.070446008
YB-1_pS102-R-V	-0.284180939
JAB1-M-C	0.0215931669999997
PARP1-R-V	0.232433204
A-Raf-R-V	0.078015926
ARID1A-R-C	0.157827748
B-Raf_pS445-R-V	-0.00309673000000003
Bcl2A1-R-V	0.346395912
BRD4-R-V	-0.0706468129999999
c-Abl-R-V	0.117139236
Caspase-3-R-C	-0.052390193
CD26-R-V	0.107669375
Chk1_pS296-R-V	0.265881227
COG3-R-V	0.08079408
DUSP4-R-V	-0.00782823800000021
ERCC5-R-C	-0.398751823
IGF1R_pY1135_Y1136-R-V	0.10707672
IRF-1-R-C	-0.171041938
Jak2-R-V	0.063654177
p16_INK4a-R-V	-0.384385953
SHP-2_pY542-R-C	-0.546306654
CDK1_pY15-R-C	-0.538936029
